smv,no_of_workers,quantity
26.16,59,1018
3.94,8,864
11.41,30.5,1027
11.41,30.5,1027
25.9,56,831
25.9,56,830
3.94,8,736
28.08,57.5,741
19.87,55,1001
28.08,57.5,738
28.08,57.5,709
19.31,54,956
11.41,30.5,907
3.94,8,688
2.9,8,896
3.94,18,1301
2.9,8,716
23.69,60,634
4.15,12,606
4.15,20,2286
2.9,17,2780
4.15,8,885
3.94,8,921
3.94,8,880
28.08,56.5,773
28.08,54.5,746
26.16,59,866
26.16,59,866
11.61,29.5,976
11.61,31.5,1042
25.9,56,830
25.9,56,830
19.31,54,1057
4.15,8,724
19.87,55,997
4.15,8,649
23.69,60,851
28.08,57.5,688
2.9,8,832
3.94,8,609
4.15,8,917
3.94,8,908
3.94,8,892
11.61,31,1127
3.94,20,2100
26.16,59,921
25.9,56.5,890
25.9,56.5,890
28.08,55.5,760
26.16,59,866
28.08,55.5,759
11.61,31,1025
3.94,8,772
3.94,18,1665
19.31,54,1007
19.87,55,997
28.08,57.5,688
2.9,8,904
2.9,8,884
45.67,58,368
4.15,8,320
3.94,8,937
3.94,10,1145
3.94,16,1742
4.15,8,810
26.16,59,921
2.9,8,1087
3.94,8,784
25.9,56.5,838
25.9,56.5,838
26.16,59,866
19.31,55,1094
11.61,32,1059
11.61,32,1059
28.08,57.5,786
28.08,57.5,786
2.9,8,1011
2.9,8,1005
28.08,58.5,750
19.87,55,997
3.94,8,659
2.9,8,880
21.98,58,760
3.94,18,2120
3.94,8,913
4.15,10,1040
4.15,15,1542
3.94,8,836
26.16,59,921
26.16,59,921
3.94,8,789
3.94,8,785
28.08,57.5,787
28.08,57.5,787
19.87,55,1063
11.61,31.5,1042
25.9,56.5,838
25.9,56.5,838
11.61,31.5,1042
28.08,58.5,751
19.31,55,1025
2.9,8,902
21.98,58,823
2.9,8,816
3.94,8,927
3.94,8,858
26.16,59,921
26.16,59,921
25.9,56.5,890
4.15,15,1440
3.94,18,1814
3.94,8,793
3.94,8,785
2.9,8,1065
28.08,57.5,787
28.08,57.5,787
11.41,30.5,1027
19.87,55,1063
11.61,31.5,1042
25.9,56.5,838
28.08,58.5,800
21.98,58,887
2.9,8,902
2.9,10,1103
31.83,55,342
4.15,8,305
3.94,8,924
3.94,20,2241
26.16,59,975
3.94,8,869
26.16,59,921
28.08,58.5,850
25.9,56.5,890
25.9,56.5,890
3.94,8,815
4.15,8,760
28.08,58.5,800
19.87,55,1063
11.61,31.5,1042
11.41,30.5,1027
28.08,58.5,800
3.94,8,760
2.9,8,975
4.15,12,989
2.9,8,902
4.15,5,298
12.52,54,725
42.41,57,151
3.94,8,960
4.15,12,1291
3.94,20,2221
3.94,8,836
26.16,59,921
25.9,56.5,890
25.9,56.5,890
3.94,8,825
4.15,8,756
3.94,8,796
28.08,58,794
28.08,57.5,787
11.61,31.5,1042
11.41,30.5,1027
26.16,59,866
28.08,58.5,800
19.87,56,1015
12.52,53,1368
2.9,8,887
2.9,8,833
